STATUS,CATEGORY1,CATEGORY2,CATEGORY3,MEASURE1,MEASURE2,MEASURE3,MEASURE4,MEASURE5,MEASURE6,MEASURE7,MEASURE8,MEASURE9,MEASURE10,MEASURE11,MEASURE12,MEASURE13,MEASURE14,MEASURE15,MEASURE16,MEASURE17
non-failed,PE,no,no,682,455275,1011,1312,22056,8619,13794,24966,44445,148771,97568,162622,205361,189180,393314,91124,18
non-failed,PE,no,no,1495,952791,3338,3861,47174,26204,52704,106699,218007,807187,463439,355701,392368,273096,531493,291080,20
non-failed,PE,no,no,2171,2979878,7424,7221,142325,75152,150222,285120,463476,675517,780123,889371,849679,846707,1248877,295325,17
non-failed,PE,no,no,283,111567,635,10547,15753,8619,18251,30351,30133,85433,37276,38519,56599,14401,8729,1723,0
non-failed,PE,no,no,776,365961,1362,1227,30808,10838,12861,16128,26064,73724,59633,76945,100812,127226,397876,140383,4
non-failed,PE,no,no,1324,1227930,6533,4044,48691,22369,29903,45061,70208,282773,220274,333327,435897,457994,1088345,337802,21
non-failed,NA,no,no,2151,1669370,4512,4450,73692,47190,79747,144215,176681,275683,175704,290196,421452,483097,1135312,347929,3
non-failed,PE,no,no,193,183149,317,639,22027,4300,3902,5031,8987,49443,30610,31594,41080,51827,73344,10650,0
non-failed,PE,no,no,525,637450,928,3528,25149,7468,7879,9398,11791,17817,28724,77563,101422,104539,274086,114973,28
non-failed,PE,no,no,611,846848,1952,1836,28550,12554,19238,30030,62523,1061440,399404,288726,267443,184599,401149,119856,48
non-failed,NA,no,no,633,338460,7115,8019,19695,14339,29094,46883,103258,315740,170332,182300,243763,161782,384497,80518,10
non-failed,PE,no,no,642,803890,2597,2825,21432,10474,16912,29131,61238,480629,287436,244521,233045,170090,251834,91488,2
non-failed,PE,no,no,805,670691,1669,2110,13716,8405,11960,16888,23628,98935,82445,126418,190115,193783,418419,294502,1
non-failed,PE,no,no,545,270513,4521,5900,51212,69014,116861,130578,154477,541855,162137,90456,96020,56630,126285,81931,1
non-failed,PE,no,no,474,127310,209,218,6569,4032,6030,7305,10098,15268,22667,50032,75537,96006,225830,37763,0
non-failed,PE,no,no,372,745946,4517,3898,28683,17360,28910,77450,218291,406008,246811,322588,365380,361967,565479,72075,2
non-failed,PE,no,no,264,282697,1454,1385,17626,8297,7256,8582,11822,39391,25811,38944,53931,56957,145488,24817,3
non-failed,PE,no,no,321,949875,868,1031,150432,45290,61606,108253,158214,260065,226855,288119,227947,163141,318952,112909,0
non-failed,PE,no,no,1343,974540,6221,6187,74753,31449,53847,96457,129804,303053,193301,194952,249721,265334,587926,236400,16
non-failed,PE,no,no,2533,942366,1393,54404,135401,22786,9914,9954,11641,29547,47898,127494,202937,321356,956383,250873,7
non-failed,PE,no,no,1140,406928,2011,2648,31645,14781,21365,40148,70408,277298,225715,244332,262653,252233,498028,127389,21
non-failed,PE,no,no,1956,2118174,6825,7727,89121,34096,53759,106731,190389,785368,490150,441698,418901,371949,909726,459868,44
non-failed,PE,no,no,2277,986548,4524,4581,86391,33091,43327,57856,86253,154678,214322,299970,323125,309209,556157,228693,51
non-failed,PE,no,no,1467,2241260,7985,23963,180940,52497,127606,315247,479709,1137211,841767,1215122,712450,415264,644097,233863,2
non-failed,PE,no,no,1867,2716865,8136,8171,126465,124163,381197,758985,917322,1680510,1080574,907026,970664,588911,794103,300258,37
non-failed,PE,no,no,1595,788119,6753,6865,44111,27039,39727,75903,127385,382493,214319,241150,261697,273621,480167,164624,8
non-failed,PE,no,no,2469,1327971,3735,3322,45617,28395,42677,85650,188117,727839,571648,607772,705447,361128,591376,224579,143
non-failed,PE,no,no,1944,1185328,3674,3614,60463,22043,32185,60311,119571,449563,267458,402172,701060,674715,1356363,567098,30
non-failed,PE,no,no,1004,171484,1665,4587,4897,1932,2913,9047,29849,781191,252937,130892,143399,108179,349460,272831,14
non-failed,PE,no,no,588,458431,975,3831,21595,7863,10853,16410,28413,73391,84886,151415,204450,209887,371885,187428,1
non-failed,PE,no,no,504,245721,537,927,15691,8074,19822,54002,72003,141846,129405,197903,261142,224501,345552,143492,3
non-failed,PE,no,no,2284,1721296,5387,10782,82366,39011,56704,102499,153294,1109756,423061,356294,578723,401605,1003730,531245,8
non-failed,PE,no,no,956,533681,4536,4195,42605,22558,36786,50222,65848,215228,113759,122266,137822,109768,297560,131303,9
non-failed,PE,no,no,1799,4008912,9830,6830,193274,70631,85000,125760,173819,395301,243159,301412,472737,578570,1616369,1186640,18
non-failed,PE,no,no,767,643796,7822,1799,18775,7709,8934,12585,26648,149439,81649,83105,165274,230201,706772,432327,5
non-failed,PE,no,no,656,83961,521,1169,7503,6500,11109,18496,32721,441370,252158,143926,81125,98857,422645,175997,0
non-failed,PE,no,no,2763,2599344,79786,152245,708077,308268,203037,161481,203692,405062,826649,1695516,1976186,1877313,1935012,323983,0
non-failed,PE,no,no,935,779172,2663,2662,80663,13950,16646,19241,28404,93599,63526,117234,177964,162646,383065,153178,3
non-failed,PE,no,no,1195,959088,6486,5127,45793,24427,40868,69734,102854,237776,233471,425109,502162,424579,802847,252896,6
non-failed,PE,no,no,1434,1150175,5148,5592,44899,20120,22284,35509,58405,462958,167387,157149,253939,331821,1091337,395321,9
non-failed,PE,no,no,5302,2444991,10250,17853,207398,84136,92354,114899,155469,335204,276345,354024,651751,732351,1275739,624326,0
non-failed,PE,no,no,1674,3091340,13991,61901,212011,39294,80656,149306,202472,744930,398088,438488,532492,495877,1426389,674114,15
non-failed,PE,no,no,2196,4337859,19041,7061,357087,188963,293971,487092,652147,1431354,801890,901093,1001467,735793,1287831,292450,13
non-failed,PE,no,no,1092,942938,1667,1347,15216,3359,3726,5150,6991,16134,23457,92198,152654,184046,795327,409443,2
non-failed,PE,no,no,3355,1093111,8931,7008,68453,35406,63610,128604,221285,938551,379790,334151,325072,291023,666981,259429,7
non-failed,PE,no,no,1343,2554082,5688,6274,124680,107914,216004,305410,372120,617987,637545,663407,724793,399280,608674,241308,40
non-failed,PE,no,no,1712,750574,2915,4795,70921,49120,76424,113560,153781,455961,324039,372187,347790,248678,417024,98044,8
non-failed,PE,no,no,1095,443039,1601,1802,30322,14222,15959,22047,37863,80435,165672,270160,300051,355189,767532,408075,1
non-failed,PE,no,no,1388,648103,1597,1404,22174,6199,6074,7292,13387,327358,120905,77378,162158,235871,752695,356108,2
non-failed,PE,no,no,1766,3681321,10220,28384,70180,33880,64357,141765,279773,904156,358526,400337,632859,632691,2327101,1110807,39
non-failed,PE,no,no,592,1709107,8387,4506,41856,20845,29518,48327,99575,272146,256861,396821,434999,481840,802579,154099,40
non-failed,PE,no,no,1749,1563103,3540,4856,33785,12520,20167,38064,53846,652565,195830,170765,234116,188091,608480,421432,2
non-failed,PE,no,no,1507,2253908,6828,6206,75751,33199,50254,75795,119015,701191,382157,351118,376250,364081,880382,237234,12
non-failed,PE,no,no,785,329902,1960,2109,46729,9900,9628,10811,13059,16127,28991,95676,200518,251632,618790,222953,3
non-failed,PE,no,no,191,180087,358,245,9036,1806,1909,3117,5266,26207,11145,10444,19030,36151,144562,54980,1
non-failed,PE,no,no,1908,1320469,2023,5625,153311,52733,50427,60104,75685,100847,144946,212953,244527,228066,246720,92156,2
non-failed,PE,no,no,788,913746,2163,3175,55128,31525,59145,116520,143745,347102,265104,369957,372100,332118,681810,235368,38
non-failed,NA,no,no,1282,1179446,4505,9786,86457,112957,215235,358389,606799,1834784,765575,565009,434043,221232,498038,112522,8
non-failed,PE,no,no,637,933596,3893,10485,51937,30038,44335,59062,75626,144378,172821,302791,333354,327302,928088,471561,2
non-failed,PE,no,no,876,1797648,3012,7686,154298,34284,43066,61039,83591,106360,124503,187745,269228,255872,332213,25076,7
non-failed,NA,no,no,733,993293,3722,3613,34685,41859,103019,214859,285831,322479,157884,172514,182875,163576,149208,35816,0
non-failed,PE,no,no,1152,339334,11230,12181,47817,21764,30320,43935,95906,270491,179993,201947,230158,220278,364406,99439,45
non-failed,PE,no,no,456,386391,1456,1468,11090,3921,6254,9714,15319,161358,168504,229312,236281,162559,238993,59020,15
non-failed,PE,no,no,796,456175,856,1787,46963,25233,33522,54094,103294,197942,464204,482113,410809,367086,307262,45382,21
non-failed,PE,no,no,1029,596373,1309,1138,37075,19588,33487,62963,103775,439783,301963,283229,273500,154746,286362,116608,5
non-failed,PE,no,no,688,277588,1049,1806,15307,13421,28309,95237,181227,159833,173810,245828,207890,73475,17094,4414,0
non-failed,PE,no,no,563,297643,720,625,17690,12981,43973,117723,171874,315265,155964,156490,154306,80362,166598,102227,0
non-failed,PE,no,no,1048,489697,2051,2006,16848,10393,23171,27334,27273,146118,57904,64198,98060,151343,671110,267035,8
non-failed,PE,no,no,649,702753,2034,2810,36197,20280,36934,72490,110730,219583,163327,201751,211744,194701,458754,83902,0
non-failed,PE,no,no,921,869517,2142,1990,57161,17427,26567,47186,76269,263197,151072,175949,199928,166959,332242,83208,2
non-failed,PE,no,no,558,517442,1432,5447,25570,8114,14587,29310,53717,142556,77140,80335,89220,94041,262615,142134,0
non-failed,PE,no,no,627,1076728,2308,1757,32449,28167,55323,118980,197796,485448,338174,370336,342785,176511,207327,36357,3
non-failed,PE,no,no,447,311586,2366,3878,34701,9565,10395,10354,14509,81948,64051,85449,93536,115506,278523,66656,8
non-failed,PE,no,no,954,1206039,2307,4980,26082,11755,14477,19483,27015,78496,115190,383729,331547,409102,1104132,212609,98
non-failed,PE,no,no,294,287846,2061,1274,20640,9671,8276,9474,14496,57935,31997,31929,30932,36102,102825,28863,3
non-failed,PE,no,no,501,248907,655,1035,18675,4953,7598,13038,16439,60692,33667,63863,116593,122481,496527,302380,9
non-failed,PE,no,no,544,249537,2634,6895,23030,10458,10443,14874,23873,336009,87303,51473,69569,56099,225580,201833,2
non-failed,PE,no,no,596,569116,1353,5115,23435,8269,12693,20736,29542,361726,85006,57964,93793,73173,284092,111984,1
non-failed,PE,no,no,191,61767,446,911,7473,2259,3040,4348,5756,8262,12115,14450,15907,18836,79017,29236,2
non-failed,PE,no,no,321,372559,1015,1037,18696,11995,19827,26272,33115,58039,50146,55926,53625,47713,87974,22852,0
non-failed,PE,no,no,454,280301,720,2280,11579,5171,5863,7074,9205,15924,34425,131741,116780,129416,262209,37710,6
non-failed,PE,no,no,236,165651,506,5369,11979,4563,5237,8545,11601,110596,59120,40315,61085,43270,118526,58278,0
non-failed,PE,no,no,3024,1505395,12133,23884,94689,49431,61240,104149,176017,646913,627089,665965,709272,654083,1521496,649631,121
non-failed,PE,no,no,1691,2394165,12503,21323,173939,44809,60854,94282,165293,410077,386204,592394,663698,722045,1217704,196356,26
non-failed,PE,no,no,2237,3697685,22043,13831,123249,56023,87815,156110,255779,798593,547977,685698,743948,672631,1465109,821804,76
non-failed,PE,no,no,2534,6325179,9598,15287,217389,82403,175293,422406,760206,2574698,1052257,691756,739196,596701,1363331,751481,34
non-failed,PE,no,no,1094,1590286,14211,11163,73840,30010,55054,90353,109038,340930,232312,351094,366224,396653,964601,467802,27
non-failed,PE,no,no,867,708607,2512,2935,49630,13947,19872,35877,77331,383237,187588,151257,176379,246275,733796,606749,16
non-failed,PE,no,no,2564,1270149,3379,6252,96570,44234,73030,97757,143475,258639,329403,531171,581584,522085,740256,251507,154
non-failed,PE,no,no,3523,2255303,14843,13198,140404,82371,166768,282412,382213,1367480,693942,572645,630676,466491,1154364,580664,37
non-failed,PE,no,no,634,1067750,7519,2839,100310,12148,11402,14969,22132,48128,36134,61260,108668,135159,391455,49156,9
non-failed,PE,no,no,1378,2128626,10233,4748,68869,34992,68075,154229,277954,721172,499944,625038,594400,539760,988844,246299,23
non-failed,PE,no,no,1785,1895572,4367,14874,253837,73780,74184,94973,131440,181402,259082,518725,916614,820968,782937,200191,12
non-failed,PE,no,no,5529,2329868,47980,22979,123434,62244,95790,181998,328178,629137,686541,1050898,1283128,1301411,2695258,507164,872
non-failed,PE,no,no,868,1255683,3255,2730,79482,24552,43691,100117,177925,726310,210907,80642,80102,66985,143918,81714,1
non-failed,PE,no,no,3270,3736024,3327,2676,53215,58317,107676,181203,284804,4811040,1010931,254426,268645,141870,271146,313598,2
non-failed,PE,no,no,2050,3292512,14039,10023,78066,37819,65194,117230,200784,746165,534382,507348,482897,428288,592371,201140,165
non-failed,PE,no,no,1923,1366958,5212,5160,94877,50508,94837,169207,241309,750305,311056,322092,276052,216789,511805,246493,11
non-failed,PE,no,no,1168,984188,3271,5702,28819,15796,27733,67719,111738,416300,191622,156039,178369,183976,342318,139758,156
non-failed,PE,no,no,368,283364,396,359,3986,1187,1878,2124,2825,7269,16831,27684,51451,69140,342754,126711,0
non-failed,PE,no,no,1059,535121,1767,1652,35129,20905,39993,71000,98416,376598,126304,92607,105298,105612,249723,123265,0
non-failed,PE,no,no,581,752934,756,903,23437,6764,8016,14184,27961,393106,80619,29710,43151,45774,210040,170539,1
non-failed,PE,no,no,1511,624560,1976,1773,25731,8634,7038,7810,11739,94408,53067,92156,241211,373951,1580853,822681,13
non-failed,PE,no,no,648,339687,3380,5840,17076,17632,54769,119983,162467,374147,277169,330217,337184,221393,224629,59720,0
non-failed,PE,no,no,747,1390193,3078,5199,126489,21787,39891,72505,100953,337135,212953,220432,234771,214666,519833,143976,6
non-failed,PE,no,no,1639,1127711,21410,6871,61440,26897,45799,78164,105188,193350,218189,400742,374968,386849,844627,137832,126
non-failed,PE,no,no,2306,735503,4940,10521,138319,39885,56118,88042,133045,237913,279593,265332,233566,197928,339219,39916,11
non-failed,PE,no,no,1003,1348596,3667,3494,35632,22019,36189,69012,135033,819616,486848,408823,519938,235075,296585,69965,3
non-failed,PE,no,no,739,1057305,2792,2772,61961,79244,114680,128978,140492,246334,246521,232343,184212,123558,221871,49531,14
non-failed,PE,no,no,430,107575,5478,418,17426,4266,5450,8534,16166,81749,54411,74533,173699,160873,538227,155351,0
non-failed,PE,no,no,1046,1073126,6240,5252,37741,19357,18669,27895,40480,116127,89891,161474,217862,219861,570669,125948,20
non-failed,PE,no,no,599,373493,1325,1278,16860,7360,8188,10536,17359,77486,77615,129619,179009,149233,355021,124323,3
non-failed,PE,no,no,305,139769,472,442,10607,4153,3372,4086,6233,21134,14601,39972,58150,60002,156996,26063,0
non-failed,PE,no,no,458,320188,15483,3874,20958,6188,7542,13566,18533,27664,28608,42323,49841,51207,85972,36985,0
non-failed,PE,no,no,152,205329,542,753,8705,4268,5305,7586,12388,53221,30804,47346,56641,60490,175453,40534,0
non-failed,PE,no,no,416,270435,988,1117,58766,24089,42804,62794,82179,117032,148611,200708,240492,164930,300404,53939,14
non-failed,PE,no,no,875,661837,2326,6681,44783,14681,17094,23272,40095,184441,105379,126346,159950,170192,391263,110350,9
non-failed,PE,no,no,2018,1289065,4629,4158,76587,31068,41938,68882,104906,303461,268654,368630,447233,339948,552235,227285,35
non-failed,PE,no,no,1959,2320526,5739,12211,78765,27996,35520,66239,105014,330693,282141,386457,489183,459397,976187,370684,71
non-failed,PE,no,no,2137,941111,3014,3568,56163,25801,37301,51583,87382,491575,409552,525511,583829,741434,1396866,364822,25
non-failed,PE,no,no,1890,3025218,5473,6607,58620,30056,40234,79467,166643,606196,352882,538785,653118,656274,1373915,348153,47
non-failed,PE,no,no,2531,2890573,6461,7877,132855,53731,69239,104992,159223,520056,508716,665818,727416,717261,1479627,446170,202
non-failed,NA,no,no,1535,486341,3450,7245,34403,16777,26459,43769,70480,247608,243823,335689,278096,211585,464840,181773,13
non-failed,PE,no,no,1283,838372,1559,2271,49948,14881,18596,31814,45909,115542,82903,120367,184758,181541,459404,141831,24
non-failed,PE,no,no,875,1255780,4349,9566,50924,21531,26839,49951,85867,592922,246863,167201,197167,209549,777443,673427,3
non-failed,PE,no,no,490,325975,510,3686,9321,5165,1017,2339,4355,166753,55099,16150,19266,18094,139949,79160,0
non-failed,PE,no,no,3644,1735165,8498,8858,55641,58552,109730,253716,556421,1304843,590382,436066,451478,397825,711957,265864,0
non-failed,PE,no,no,1368,1095592,2353,2863,27053,16151,26423,49660,78121,674567,322535,296433,406807,274635,871333,272872,12
non-failed,PE,no,no,1514,2175596,7075,6198,88103,38406,61181,72347,99863,361391,281632,400392,548687,615366,1890787,964913,105
non-failed,PE,no,no,1264,709442,1744,1778,38208,15342,21945,37565,61821,402094,196088,130066,131575,80860,143248,22698,2
non-failed,PE,no,no,1478,1363171,4532,5204,60187,32740,59523,115212,206412,658851,215531,119417,127903,74379,142313,59091,0
non-failed,PE,no,no,2089,1226313,11713,8687,40889,19704,30390,43672,82255,353357,179410,161089,226639,256959,695361,276505,90
non-failed,PE,no,no,3378,2071087,9414,10734,188948,83483,122427,221234,354670,1747867,745207,668649,719796,507086,904836,296894,4
non-failed,PE,no,no,2224,3780781,39899,52152,100719,71364,130126,238056,389464,818526,436040,496125,597107,504528,1121416,574482,14
non-failed,PE,no,no,1967,4716484,4236,4379,65712,16906,18043,23222,33202,53918,69718,136285,365623,520026,2187185,1139016,0
non-failed,PE,no,no,1525,1502407,6736,10962,131980,52554,53521,60782,79221,158029,158354,228793,494830,683038,1164377,534713,1
non-failed,PE,no,no,685,1342830,7069,5173,26010,20671,49181,95536,168379,371744,309075,320585,313634,275789,483180,108802,5
non-failed,PE,no,no,675,639527,1660,1248,39800,15936,18920,27071,36482,88194,67844,92816,148306,153817,459938,127271,2
non-failed,PE,no,no,453,190309,448,409,7368,2823,3352,5773,11781,46122,27379,55447,97697,127381,244708,59422,4
non-failed,PE,no,no,616,696295,2301,3020,56450,15366,15842,23579,37196,242216,104148,141719,149995,155388,376982,124094,10
non-failed,PE,no,no,1071,3678859,15518,11427,75379,46231,63909,97105,147781,1281097,365598,193512,243941,239676,1028843,1215291,13
non-failed,PE,no,no,948,1434754,4617,7618,41447,19171,27420,52664,117990,639686,324303,306552,331636,249445,514406,310867,33
non-failed,PE,no,no,561,1624795,4284,4146,46365,52645,169531,319978,374285,1551271,444769,346534,330599,132704,272084,81263,0
non-failed,PE,no,no,268,102495,336,462,6140,2148,2676,4765,7047,26374,16814,27305,35062,41668,60238,12287,1
non-failed,PE,no,no,66,83976,226,207,2208,1124,1572,2652,5286,50927,18761,9855,13928,13165,48823,7477,0
non-failed,PE,no,no,27,4256,65,119,827,216,124,69,102,78,92,149,144,293,455,1,0
non-failed,PE,no,no,3760,3933421,11993,9652,155901,71244,117285,220323,373457,944311,733409,931338,1063993,914425,2084237,474420,41
non-failed,PE,no,no,2726,1393869,5414,4574,72530,25121,35545,53683,77566,194899,174605,219836,249536,264281,707275,313317,20
non-failed,PE,no,no,2820,3667428,8946,8487,91377,37772,42471,94251,172536,710088,470131,664142,768773,852319,2221654,537083,18
non-failed,PE,no,no,2363,2236742,7524,7631,59591,20267,25257,44419,79969,425650,327736,308343,416452,413795,1176098,510959,5
non-failed,PE,no,no,832,1125468,1953,10163,27910,8273,17814,34762,66939,1237483,464971,121557,215058,120701,229282,127283,0
non-failed,PE,no,no,2651,3435762,12458,9061,70945,32614,59598,161041,369070,2454860,952194,814256,1254877,950887,2477873,1347498,38
non-failed,PE,no,no,820,664284,1635,1516,26006,10444,13451,19592,30331,46430,77576,171538,267955,350763,896091,459653,111
non-failed,PE,no,no,3363,2859754,10451,15010,155571,62719,89149,155153,264551,693827,687832,851354,1018900,834650,1658041,666866,99
non-failed,PE,no,no,804,1626490,6466,6076,123289,46711,72323,111638,154992,405555,255011,332477,440513,464906,1737728,483251,117
non-failed,PE,no,no,1351,1298158,3729,4863,54275,19081,32426,61195,100166,382363,252979,257678,324735,323404,626934,298292,57
non-failed,PE,no,no,2448,3235897,6208,6111,71950,47704,71982,114401,188962,659312,589771,948764,1325153,1257464,2041956,423924,119
non-failed,PE,no,no,581,249937,2845,1410,20212,6164,9301,18393,35676,187752,92794,82890,102906,109212,239600,90858,10
non-failed,PE,no,no,1903,1388169,5038,10813,63776,30334,38530,68778,131866,778564,448160,389133,533589,288887,469840,108627,13
non-failed,PE,no,no,964,959056,1964,909,28580,10314,13770,17135,38323,398039,174643,502892,866557,959432,2721011,684198,33
non-failed,PE,no,no,2034,2460906,37163,114491,163245,58587,87139,134029,185093,510234,329767,475562,533142,583737,1767441,850322,42
non-failed,PE,no,no,1186,3192873,11365,11722,115753,93058,145982,255008,498768,880593,979568,980729,769565,470766,652697,231928,1
non-failed,PE,no,no,1359,675332,4869,4401,47585,30416,50167,78667,143431,2079832,285916,125874,186931,150989,237293,119693,19
non-failed,PE,no,no,392,250272,753,661,8659,3785,4717,7793,16255,35216,39990,67712,112805,133605,343316,107102,0
non-failed,PE,no,no,1285,643183,1371,1472,22274,9292,11420,16118,23883,52443,87146,157666,190089,236667,715762,259526,15
non-failed,PE,no,no,950,889436,2357,2057,44419,27077,44359,65198,84873,184239,171121,234419,332106,235778,480947,155326,16
non-failed,PE,no,no,1841,2302832,7820,7364,63681,53318,99642,173459,263613,442206,403497,554521,620512,603786,1292389,532259,12
non-failed,PE,no,no,1115,603754,3664,3008,24848,20885,50945,78072,112595,311346,177887,169064,178153,145547,374433,178925,4
non-failed,PE,no,no,724,695339,16039,9141,73774,29896,37881,44068,61565,141842,91865,136533,133091,118662,306687,109874,1
non-failed,PE,no,no,1119,468785,1774,3385,21749,8372,10799,19562,27558,47653,52792,137606,231810,198773,423594,128045,8
non-failed,PE,no,no,1006,1494687,6229,11006,116022,64787,96242,192429,470259,2429534,619657,183244,210136,83187,9678,2994,0
non-failed,PE,no,no,805,750123,2178,5593,29432,14495,21737,38257,63966,161002,134414,215766,284593,334656,690927,206319,5
non-failed,PE,no,no,942,1241487,3801,3597,72555,23738,30825,47698,88620,283063,302708,454144,467054,482345,1107440,179746,459
non-failed,PE,no,no,950,394943,1324,4777,11238,1463,1504,2249,6241,1248137,159572,25174,49784,17888,1967,1311,0
non-failed,PE,no,no,286,216024,832,2061,6673,4954,6241,12641,17784,342657,90897,54967,70166,34096,53458,14665,1
non-failed,PE,no,no,401,705724,1406,7102,27483,6421,6818,7401,11047,79193,61320,172919,213429,274209,835719,252835,17
non-failed,PE,no,no,310,125473,566,354,10899,5978,6792,8370,11110,47506,25940,36169,38249,36895,96231,23395,0
non-failed,PE,no,no,422,317819,1284,1293,15048,11412,18076,33447,70435,162940,104432,90550,55891,40556,158311,99564,10
non-failed,PE,no,no,197,316666,1015,11087,25450,6653,7224,12361,24719,97130,73631,70331,52379,40211,77407,25661,5
non-failed,PE,no,no,51,17828,39,5960,1989,1125,791,530,385,854,443,827,1077,1226,2359,361,0
non-failed,PE,no,no,391,578399,4046,1288,38395,14005,22548,36892,53714,107878,86897,127299,102979,82029,154458,49887,2
non-failed,PE,no,no,46,18712,38,117,2081,955,381,925,701,589,538,1599,1752,1467,5234,1497,0
non-failed,PE,no,no,218,861683,3152,2878,50653,16687,16611,19020,24123,41222,51682,97305,121924,167832,314963,33174,0
non-failed,NA,no,no,1503,596044,3571,3415,68846,10880,12875,17634,23571,93352,45869,38341,49298,54875,188739,192599,12
non-failed,PE,no,no,1900,2460407,9258,43873,139592,57937,135311,201949,221484,524980,497483,616096,636293,631565,1387648,502812,532
non-failed,PE,no,no,412,184168,805,1078,11217,19896,42137,41923,57641,105015,299831,325349,236513,37421,8228,2960,0
non-failed,PE,no,no,1901,1585108,3043,8214,83274,23257,32863,49133,85341,308787,194730,350255,394246,322926,758708,261673,11
non-failed,PE,no,no,2691,1224636,13348,12886,91321,33250,37646,58311,106968,333621,308249,514543,661640,714946,1348012,456606,38
non-failed,PE,no,no,697,363923,2025,1674,28145,5275,7357,10184,15800,50843,41243,51073,66350,79266,191243,72213,0
non-failed,PE,no,no,2842,654418,5294,5277,58789,28115,39952,63857,117411,342452,280423,360397,387063,375202,522785,122847,2
non-failed,PE,no,no,459,195087,1684,997,10249,6861,11012,21633,37420,251564,97601,94397,109852,81785,273649,82506,0
non-failed,NA,no,no,1316,2373371,3723,3316,266603,116480,130885,144716,157335,205999,311546,732424,879132,1000782,1808317,665542,54
non-failed,PE,no,no,1369,1648731,3432,3780,99445,25243,31395,52555,106710,267785,497196,805266,889721,894382,1315866,389607,30
non-failed,PE,no,no,2174,3832282,13233,9846,131471,90503,176378,295194,388295,828876,756004,848387,905907,592697,971843,274701,36
non-failed,PE,no,no,941,407525,4281,2923,51729,21042,22816,27165,28557,99268,42787,28653,41942,32107,93407,29257,1
non-failed,PE,no,no,2912,1757513,7819,5544,112337,47713,66366,110041,174322,314424,320035,490391,486924,456176,1011138,470837,48
non-failed,PE,no,no,1555,824319,2191,2658,45628,24852,36989,87926,197403,701051,363778,263327,288704,214157,382289,147286,5
non-failed,PE,no,no,118,40551,1090,353,6100,1911,2804,6554,8780,96740,27618,8896,8245,14199,73505,38614,0
non-failed,PE,no,no,2095,1305978,4852,3826,57630,25559,32195,48695,75502,465588,239343,211989,331427,517732,2302296,780559,12
non-failed,PE,no,no,881,752491,11384,5173,56964,50243,90354,147018,180266,660761,225196,185323,180422,107836,165571,58896,3
non-failed,PE,no,no,1200,1434982,2991,3785,45755,19588,54836,55159,100804,681759,411564,342333,335177,217193,363108,188475,6
non-failed,PE,no,no,1757,880450,5523,7585,44219,34347,51207,76525,113873,381668,285789,297199,292947,312386,770076,386588,4
non-failed,PE,no,no,2317,1290352,5510,7727,81773,26904,37765,60970,75974,541963,235865,259590,490508,355366,814833,437106,9
non-failed,PE,no,no,1673,1586590,9022,6669,52415,30946,42171,94903,217681,738347,412671,407990,576624,441066,1020153,341789,29
non-failed,PE,no,no,2799,2136616,3998,5080,55417,26315,27013,35582,47723,70322,112926,267310,592503,725480,1145344,470117,4
non-failed,PE,no,no,1336,1436693,3010,3118,50152,17237,26610,51286,53465,437336,160473,134041,205469,194965,620026,570233,8
non-failed,PE,no,no,635,414688,2414,6371,38727,17251,18750,31018,51316,190129,167931,192339,206303,150870,204968,40286,2
non-failed,PE,no,no,482,337068,914,1301,9806,3490,3278,4752,8454,34964,25043,43392,67354,97329,327689,146709,38
non-failed,PE,no,no,2101,1333252,5137,10343,50828,31635,51634,93770,153266,1048271,329296,201880,262954,195253,531485,410203,2
non-failed,PE,no,no,1421,2273589,5520,3408,105856,41212,69650,110332,149959,708063,273216,311974,414079,355041,1000705,465231,14
non-failed,PE,no,no,1889,1114793,2759,2817,43389,18587,29467,52393,86079,530932,254891,284151,283722,203757,430160,113356,4
non-failed,PE,no,no,1310,915278,35419,16245,64031,40669,58500,76078,103794,852581,321494,185138,188332,114575,284269,195958,5
non-failed,PE,no,no,903,739018,51469,150351,73369,40453,66899,215865,189381,520440,257816,110077,49862,17437,7739,1957,0
non-failed,PE,no,no,1106,335858,1786,1678,29063,21410,38223,76237,105734,427060,150534,106890,107456,91115,245318,103380,1
non-failed,PE,no,no,435,872366,1550,1558,27804,6230,7228,11718,20714,36190,74707,143844,172540,208566,408326,84217,7
non-failed,PE,no,no,1830,990288,2814,3073,72434,20415,23063,31739,46381,213147,131604,150813,180250,210722,683759,430583,3
non-failed,PE,no,no,314,116588,874,718,16858,7968,7613,8487,11972,19974,33130,50741,84908,129297,302365,97540,0
non-failed,PE,no,no,222,236266,456,652,5633,2111,3746,5844,9296,52044,21300,24168,32179,39353,160313,71992,0
non-failed,PE,no,no,459,481776,1927,3423,39605,27535,26460,44415,68866,220512,76748,89048,141370,195899,548984,122412,0
non-failed,PE,no,no,436,84818,484,1647,17059,5160,7074,13867,39204,66093,72347,91183,91522,84608,68114,4786,1
non-failed,PE,no,no,251,760092,3606,3227,30822,24230,65477,216188,462717,553297,238250,107260,47724,18917,14495,5547,1
non-failed,PE,no,no,429,279319,3128,106104,38562,8120,67308,8894,14544,8196,10159,23428,33737,34580,76070,36921,2
non-failed,PE,no,no,2759,4225200,14594,23792,177394,72466,127817,206595,302171,1378241,914371,994443,1051243,548979,863140,346969,25
