STATUS,CATEGORY1,CATEGORY2,CATEGORY3,MEASURE1,MEASURE2,MEASURE3,MEASURE4,MEASURE5,MEASURE6,MEASURE7,MEASURE8,MEASURE9,MEASURE10,MEASURE11,MEASURE12,MEASURE13,MEASURE14,MEASURE15,MEASURE16,MEASURE17
non-failed,PE,no,no,2710,3609102,11766,13875,153265,61911,72892,104582,154677,733817,656944,1495485,1652259,1130552,1541063,715900,3054
non-failed,PE,no,no,4071,1465302,9390,9970,418906,100837,83426,72968,75281,252193,101950,74227,68027,67503,119369,71151,15
non-failed,PE,no,no,2576,2046191,8214,12446,178148,48588,57208,94082,151805,408205,229895,283320,470508,680140,1974265,732509,1071
non-failed,PE,no,no,4789,1824981,8393,16179,509604,123663,98255,85459,79722,103356,62996,56784,54324,51099,98911,55073,7
non-failed,PE,no,no,1143,4514678,10440,10809,120755,85075,193060,432010,630812,1309951,763857,857862,946422,925852,1786301,1138307,267
non-failed,PE,no,no,731,2102315,4383,6219,135909,25380,19127,29578,83026,1365936,158084,80940,136732,193575,691415,1326355,64
non-failed,PE,no,no,889,1237082,5171,9679,92065,33736,42338,54770,79042,144827,257806,508670,590182,555528,714515,392168,574
non-failed,PE,no,no,1936,3266254,5627,5773,61687,17729,35226,80701,165921,434894,734442,1541172,1916242,1726693,1722349,581171,6420
non-failed,PE,no,no,890,1669578,7401,8322,183981,54841,76191,121069,207805,357069,552097,1065562,1470053,1517166,1934116,595735,784
non-failed,PE,no,no,1298,1460912,5855,5466,69100,36069,43569,65842,109579,696969,388786,483865,711835,646585,1474229,964487,1187
non-failed,PE,no,no,151,31359,144,548,4973,782,705,775,813,1049,1602,6037,7252,6082,16526,6764,7
non-failed,PE,no,no,894,621373,35334,16330,64994,35102,45516,71986,123147,368062,345671,421632,480406,372543,586844,244901,557
non-failed,NA,no,no,281,88957,544,1515,12355,3405,20763,5676,9228,41239,45354,77355,41440,31500,41022,12913,81
non-failed,PE,no,no,320,341022,753,1252,13480,7638,10938,15536,19468,24625,41895,120822,229682,197288,263359,167804,167
non-failed,PE,no,no,411,212216,330,368,9514,2597,2633,2906,3270,4634,6301,26039,52659,54160,292066,32052,49
non-failed,PE,no,no,421,324750,1034,8624,16804,4582,5653,9409,17931,177602,73316,103169,144040,44890,121566,45801,67
non-failed,PE,no,no,205,157598,114,264,18688,16695,17658,18560,24249,48516,63637,128173,187317,271399,506818,49387,1052
non-failed,PE,no,no,7,487,69,27,372,64,110,26,41,46,8,15,19,38,108,31,0
non-failed,PE,no,no,1780,1230405,24574,53087,44360,15185,22022,51314,160647,2725761,1111494,448970,304826,317824,586142,497781,206
non-failed,PE,no,no,556,499192,6351,5763,39723,10604,15109,20628,43400,98976,67843,112285,142856,180679,323423,106185,214
